,time,x,y,goalx,goaly,yaw,steer,throttle
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-3.9101621696888196,8.55623119709831,-9.3,7.8,-2.6721679474703923,-0.2970250386071657,0.7
2,0.21193337440490723,-3.9418182215342923,8.588267552098607,-9.3,7.8,-2.673137405429565,-0.29014942687124634,0.7
3,0.4137277603149414,-3.9741490311281273,8.612603386589784,-9.3,7.8,-2.673765441717845,-0.2847759667617943,0.7
4,0.6154847145080566,-4.015472571402601,8.630815440252023,-9.3,7.8,-2.674151477294712,-0.2803509080857798,0.7
5,0.817373514175415,-4.0481295110022835,8.631635354123087,-9.3,7.8,-2.675200609430015,-0.2784111303742763,0.7
6,1.0193452835083008,-4.1155708494268,8.629379713708989,-9.3,7.8,-2.6753845521527215,-0.2768193820152849,0.7
7,1.2212963104248047,-4.153162549326534,8.612658302308208,-9.3,7.8,-2.6756443709188455,-0.2784118064992208,0.7
8,1.4230828285217285,-4.181616265323359,8.58916290160207,-9.3,7.8,-2.675583590258225,-0.2817284587608917,0.7
9,1.634751319885254,-4.21645499178207,8.570514047771791,-9.3,7.8,-2.675524625878007,-0.28407848857533946,0.7
10,1.836482048034668,-4.2542241512652215,8.547478177653721,-9.3,7.8,-2.675491078493988,-0.2871286070692165,0.7
11,2.0383005142211914,-4.286590301447296,8.527875347047349,-9.3,7.8,-2.6755405787806987,-0.28968641234766784,0.7
12,2.239903450012207,-4.297698016733809,8.520811076042486,-9.3,7.8,-2.675522818650845,-0.290663131455101,0.7
13,2.441680431365967,-4.341577965756183,8.500906727730554,-9.3,7.8,-2.675287564597802,-0.2928644109101328,0.7
14,2.6434364318847656,-4.364604379306379,8.492597602205388,-9.3,7.8,-2.6754404177166777,-0.2940569669782294,0.7
15,2.8453521728515625,-4.394682790987504,8.488551281475493,-9.3,7.8,-2.6753965957317565,-0.2940649792323236,0.7
16,3.047178268432617,-4.430763376674921,8.484697943489456,-9.3,7.8,-2.6753570423890083,-0.29388103348404404,0.7
17,3.2588295936584473,-4.468280159257876,8.471619737191071,-9.3,7.8,-2.6754225669004845,-0.29524759919740917,0.7
18,3.4605236053466797,-4.516685158913848,8.451049121206335,-9.3,7.8,-2.675491464347013,-0.2977416931400837,0.7
19,3.662494421005249,-4.567128445872568,8.428306885728814,-9.3,7.8,-2.6760016923451153,-0.3002479565922945,0.7
20,3.8641459941864014,-4.5935232366192755,8.41608082058608,-9.3,7.8,-2.6762409909923344,-0.3016719797204896,0.7
21,4.065670490264893,-4.684950304256562,8.351929808914376,-9.3,7.8,-2.677672310005054,-0.31040297599600036,0.7
22,4.267369270324707,-4.745817012823796,8.31396666981004,-9.3,7.8,-2.6780450078392115,-0.31605047197894065,0.7
23,4.479211091995239,-4.7992368625982476,8.27891219576039,-9.3,7.8,-2.678462829873748,-0.32140964231913566,0.7
24,4.68126654624939,-4.855427081900442,8.235219904277704,-9.3,7.8,-2.680755805797176,-0.3269037512689609,0.7
25,4.883313417434692,-4.882600848269005,8.216421801609718,-9.3,7.8,-2.6816988755043254,-0.3293126929035378,0.7
26,5.084965229034424,-4.9732620415899405,8.153018733800748,-9.3,7.8,-2.6856602369972937,-0.3370704308527279,0.7
27,5.286694049835205,-5.031583150423502,8.109907855708215,-9.3,7.8,-2.6871342261483466,-0.3437826590536788,0.7
28,5.488033056259155,-5.093213039797668,8.07330561183814,-9.3,7.8,-2.6887920886932197,-0.34913156329437517,0.7
29,5.689661979675293,-5.180366998598196,8.028132963962271,-9.3,7.8,-2.690103292071789,-0.3545743670066189,0.7
30,5.901284694671631,-5.237734604721297,8.002180148678695,-9.3,7.8,-2.6919717089022126,-0.3599025150298628,0.7
31,6.102807283401489,-5.2997863433687975,7.97824145625336,-9.3,7.8,-2.693887162663011,-0.3628592644436382,0.7
32,6.304299831390381,-5.357168045613728,7.945370234899052,-9.3,7.8,-2.6958025204762057,-0.36804359501604966,0.7
33,6.506648063659668,-5.413019936957548,7.910462587580689,-9.3,7.8,-2.697872273758777,-0.3737784709683337,0.7
34,6.708272218704224,-5.471222376313013,7.867144197206323,-9.3,7.8,-2.699249593909633,-0.38232732429012,0.7
35,6.909952163696289,-5.532072018797448,7.824646467246854,-9.3,7.8,-2.7008826031493474,-0.39075212179223023,0.7
36,7.1220862865448,-5.592009222074339,7.779594431432317,-9.3,7.8,-2.701675748217897,-0.40087798506056765,0.7
37,7.323670864105225,-5.674002458780537,7.717480089690597,-9.3,7.8,-2.7028281413569006,-0.41536659162344863,0.7
38,7.525097608566284,-5.720311206744895,7.686286612121899,-9.3,7.8,-2.703231944099884,-0.4231046776157423,0.7
39,7.728977203369141,-5.743679270014838,7.671635544184514,-9.3,7.8,-2.703182614005592,-0.42704020093046796,0.7
40,7.9305994510650635,-5.816949488070856,7.628911737672704,-9.3,7.8,-2.703800777799024,-0.43818539662854356,0.7
41,8.132444143295288,-5.862008834892185,7.603308151413445,-9.3,7.8,-2.703931260839694,-0.44532933060776886,0.7
42,8.344374656677246,-5.912783888942032,7.575256928249614,-9.3,7.8,-2.7042710023373098,-0.45321742798064535,0.7
43,8.545900106430054,-5.9628040472990085,7.545647623258666,-9.3,7.8,-2.7053380278732515,-0.46109245210815736,0.7
44,8.747982740402222,-6.036102854957706,7.495892197278818,-9.3,7.8,-2.7085195983915096,-0.4733802447611774,0.7
45,8.949485063552856,-6.0902609360298765,7.473209812646856,-9.3,7.8,-2.7102873143308472,-0.47949101955903345,0.7
